District,DMA,Channel,Week,Percent Of State,Dem GRPs,Rep GRPs,Net GRPs,Cost Per Impression,CPPs,Value Per Dollar,Change In State Voteshare,Change In DMA Voteshare,Forecasted Cand Dem GRPs,Forecasted Cand Rep GRPs,Cost,Cumulative,Speculative,Speculative -  Value Per Dollar
IL_class_2,Rockford IL,Digital,2020-10-27,3.7%,0,0,0,.025,97,.000,.02%,.48%,0,0,"$48,286.0",,1,.004
IL_class_2,Champaign & Springfield-Decatur IL,Digital,2020-10-27,7.7%,0,0,0,.025,198,.000,.04%,.48%,0,0,"$99,080.6",,1,.004
MN_class_2,Minneapolis-St. Paul MN,Digital,2020-10-27,81.0%,0,0,0,.025,851,.002,.02%,.02%,0,0,"$425,537.8",,1,.004
MN_class_2,Minneapolis-St. Paul MN,Digital,2020-10-20,81.0%,0,0,0,.025,851,.002,.02%,.02%,0,0,"$425,537.8",,1,.004
OR_class_2,Eugene OR,Digital,2020-10-27,15.9%,0,0,0,.025,155,.000,.04%,.24%,0,0,"$77,257.3",,1,.004
OR_class_2,Medford-Klamath Falls OR,Digital,2020-10-27,10.2%,0,0,0,.025,102,.000,.02%,.24%,0,0,"$51,009.1",,1,.004
OR_class_2,Yakima-Pasco-Richland-Kennewick WA,Digital,2020-10-27,1.7%,0,0,0,.025,18,.000,.00%,.24%,0,0,"$9,234.1",,1,.003
OR_class_2,Boise ID,Digital,2020-10-27,.5%,0,0,0,.025,6,.000,.00%,.24%,0,0,"$3,047.4",,1,.003
OR_class_2,Portland OR,Digital,2020-10-27,66.3%,0,0,0,.025,647,.000,.16%,.24%,0,0,"$323,483.0",,1,.003
IL_class_2,Chicago IL,Digital,2020-10-20,67.9%,0,0,0,.025,1790,.000,.42%,.62%,0,0,"$894,921.4",,1,.003
DE_class_2,Salisbury MD,Digital,2020-10-20,25.3%,0,0,0,.025,56,.000,.13%,.51%,1999.8123,179,"$27,913.8",,0,.003
DE_class_2,Salisbury MD,Digital,2020-10-27,25.3%,0,0,0,.025,56,.000,.12%,.49%,580.1601,0,"$27,913.8",,1,.003
VA_class_2,Norfolk-Portsmouth-Newport News VA,Digital,2020-10-20,20.4%,0,0,0,.025,367,.000,.05%,.25%,0,0,"$183,480.4",,1,.003
DE_class_2,Philadelphia PA,Digital,2020-10-27,74.7%,0,0,0,.025,168,.000,.37%,.49%,65.53933,0,"$84,135.0",,1,.003
IL_class_2,Chicago IL,Digital,2020-10-27,67.9%,0,0,0,.025,1790,.000,.33%,.48%,0,0,"$894,921.4",,1,.003
DE_class_2,Philadelphia PA,Digital,2020-10-20,74.7%,0,0,0,.025,168,.000,.47%,.62%,1999.2485,0,"$84,135.0",,1,.003
VA_class_2,Norfolk-Portsmouth-Newport News VA,Digital,2020-10-27,20.4%,0,0,0,.025,367,.000,.06%,.27%,0,0,"$183,480.4",,1,.002
VA_class_2,Roanoke-Lynchburg VA,Digital,2020-10-20,13.3%,0,0,0,.025,239,.000,.02%,.17%,0,0,"$119,286.9",,1,.002
VA_class_2,Roanoke-Lynchburg VA,Digital,2020-10-27,13.3%,0,0,0,.025,239,.000,.02%,.16%,0,0,"$119,286.9",,1,.002
MS_class_2,Jackson MS,Digital,2020-10-27,31.8%,0,0,0,.025,197,.134,.27%,.85%,0,0,"$98,320.4",,1,.002
MS_class_2,Baton Rouge LA,Digital,2020-10-27,.9%,0,0,0,.025,5,.111,.01%,.85%,0,0,"$2,551.1",,1,.002
MS_class_2,Baton Rouge LA,Digital,2020-10-20,.9%,0,0,0,.025,5,.100,.01%,.76%,0,0,"$2,551.1",,1,.002
MS_class_2,Columbus-Tupelo-West Point MS,Digital,2020-10-27,16.3%,0,0,0,.025,100,.121,.14%,.85%,0,0,"$49,781.5",,1,.001
MS_class_2,Hattiesburg-Laurel MS,Digital,2020-10-27,10.1%,0,0,0,.025,60,.117,.09%,.85%,0,0,"$30,188.4",,1,.001
MS_class_2,Memphis TN,Digital,2020-10-27,14.3%,0,0,0,.025,92,.113,.12%,.85%,0,0,"$45,935.1",,1,.001
